customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,internet_service,contract,payment_method,monthly_charges,total_charges,actual_churn,churn_probability,predicted_churn,risk_level,prediction_date
7590-VHVEG,Female,0,Yes,No,1,No,DSL,Month-to-month,Electronic check,29.85,29.85,0,0.804944043590562,1,HIGH RISK,2026-08-30 13:02:06
5575-GNVDE,Male,0,No,No,34,Yes,DSL,One year,Mailed check,56.95,1889.5,0,0.10938207066082693,0,LOW RISK,2026-08-30 13:02:06
3668-QPYBK,Male,0,No,No,2,Yes,DSL,Month-to-month,Mailed check,53.85,108.15,1,0.5741308369664044,1,MEDIUM RISK,2026-08-30 13:02:06
7795-CFOCW,Male,0,No,No,45,No,DSL,One year,Bank transfer (automatic),42.3,1840.75,0,0.07513870148424313,0,LOW RISK,2026-08-30 13:02:06
9237-HQITU,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Electronic check,70.7,151.65,1,0.8657645146883837,1,HIGH RISK,2026-08-30 13:02:06
9305-CDSKC,Female,0,No,No,8,Yes,Fiber optic,Month-to-month,Electronic check,99.65,820.5,1,0.9315705905984071,1,HIGH RISK,2026-08-30 13:02:06
1452-KIOVK,Male,0,No,Yes,22,Yes,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,0,0.6653017109885069,1,MEDIUM RISK,2026-08-30 13:02:06
6713-OKOMC,Female,0,No,No,10,No,DSL,Month-to-month,Mailed check,29.75,301.9,0,0.5249369359297646,1,MEDIUM RISK,2026-08-30 13:02:06
7892-POOKP,Female,0,Yes,No,28,Yes,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,1,0.8157301515637613,1,HIGH RISK,2026-08-30 13:02:06
6388-TABGU,Male,0,No,Yes,62,Yes,DSL,One year,Bank transfer (automatic),56.15,3487.95,0,0.048028167516795284,0,LOW RISK,2026-08-30 13:02:06
9763-GRSKD,Male,0,Yes,Yes,13,Yes,DSL,Month-to-month,Mailed check,49.95,587.45,0,0.3507363573924371,0,LOW RISK,2026-08-30 13:02:06
7469-LKBCI,Male,0,No,No,16,Yes,No,Two year,Credit card (automatic),18.95,326.8,0,0.04992062169075597,0,LOW RISK,2026-08-30 13:02:06
