customer_id,churn_probability,risk_level,recommendation_rank,recommendation
7590-VHVEG,0.804944043590562,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
7590-VHVEG,0.804944043590562,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
7590-VHVEG,0.804944043590562,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
7590-VHVEG,0.804944043590562,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
7590-VHVEG,0.804944043590562,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
7590-VHVEG,0.804944043590562,HIGH RISK,6,Focus on early customer engagement because short tenure may increase churn risk.
7590-VHVEG,0.804944043590562,HIGH RISK,7,Evaluate whether the monthly cost is creating dissatisfaction.
7590-VHVEG,0.804944043590562,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
5575-GNVDE,0.1093820706608269,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
5575-GNVDE,0.1093820706608269,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
5575-GNVDE,0.1093820706608269,LOW RISK,3,Promote a longer-term contract with clear financial benefits.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,5,Promote a longer-term contract with clear financial benefits.
3668-QPYBK,0.5741308369664044,MEDIUM RISK,6,Evaluate whether the monthly cost is creating dissatisfaction.
7795-CFOCW,0.0751387014842431,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
7795-CFOCW,0.0751387014842431,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
7795-CFOCW,0.0751387014842431,LOW RISK,3,Promote a longer-term contract with clear financial benefits.
9237-HQITU,0.8657645146883837,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
9237-HQITU,0.8657645146883837,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
9237-HQITU,0.8657645146883837,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
9237-HQITU,0.8657645146883837,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
9237-HQITU,0.8657645146883837,HIGH RISK,5,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
9237-HQITU,0.8657645146883837,HIGH RISK,6,Encourage automatic payment methods by offering a small billing incentive.
9237-HQITU,0.8657645146883837,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
9237-HQITU,0.8657645146883837,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
9305-CDSKC,0.9315705905984072,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
9305-CDSKC,0.9315705905984072,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
9305-CDSKC,0.9315705905984072,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
9305-CDSKC,0.9315705905984072,HIGH RISK,4,Provide onboarding support and regular check-ins during the customer's early months.
9305-CDSKC,0.9315705905984072,HIGH RISK,5,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
9305-CDSKC,0.9315705905984072,HIGH RISK,6,Encourage automatic payment methods by offering a small billing incentive.
9305-CDSKC,0.9315705905984072,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
9305-CDSKC,0.9315705905984072,HIGH RISK,8,Promote a longer-term contract with clear financial benefits.
1452-KIOVK,0.6653017109885069,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
1452-KIOVK,0.6653017109885069,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
1452-KIOVK,0.6653017109885069,MEDIUM RISK,3,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
1452-KIOVK,0.6653017109885069,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
1452-KIOVK,0.6653017109885069,MEDIUM RISK,5,Promote a longer-term contract with clear financial benefits.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,1,Monitor this customer closely and send a personalized retention offer.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,2,Offer a discount or incentive for switching to a one-year or two-year contract.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,3,Provide onboarding support and regular check-ins during the customer's early months.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,4,Focus on early customer engagement because short tenure may increase churn risk.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,5,Evaluate whether the monthly cost is creating dissatisfaction.
6713-OKOMC,0.5249369359297646,MEDIUM RISK,6,Promote a longer-term contract with clear financial benefits.
7892-POOKP,0.8157301515637613,HIGH RISK,1,Prioritize immediate retention outreach because this customer has a high churn risk.
7892-POOKP,0.8157301515637613,HIGH RISK,2,Assign the customer to a proactive customer success or support representative.
7892-POOKP,0.8157301515637613,HIGH RISK,3,Offer a discount or incentive for switching to a one-year or two-year contract.
7892-POOKP,0.8157301515637613,HIGH RISK,4,Review the customer's pricing plan and consider offering a loyalty discount or better-value package.
7892-POOKP,0.8157301515637613,HIGH RISK,5,Encourage automatic payment methods by offering a small billing incentive.
7892-POOKP,0.8157301515637613,HIGH RISK,6,Promote a longer-term contract with clear financial benefits.
7892-POOKP,0.8157301515637613,HIGH RISK,7,Focus on early customer engagement because short tenure may increase churn risk.
6388-TABGU,0.0480281675167952,LOW RISK,1,Maintain regular engagement and continue providing strong customer support.
6388-TABGU,0.0480281675167952,LOW RISK,2,Evaluate whether the monthly cost is creating dissatisfaction.
